Excitation
"Frequency"[Hz]	"VoltageSource2 [dB]"	
3.00000000E+07	-8.26725424E-02	
3.25000000E+07	-1.54325071E-01	
3.50000000E+07	-2.72708320E-01	
3.75000000E+07	-4.62075629E-01	
4.00000000E+07	-7.45009177E-01	
4.25000000E+07	-1.13394961E+00	
4.50000000E+07	-1.63677713E+00	
4.75000000E+07	-2.27362496E+00	
5.00000000E+07	-3.10257308E+00	
5.25000000E+07	-4.22962674E+00	
5.50000000E+07	-5.81433831E+00	
5.75000000E+07	-8.09271437E+00	
6.00000000E+07	-1.12808221E+01	
6.25000000E+07	-1.45223736E+01	
6.50000000E+07	-1.38900547E+01	
6.75000000E+07	-1.08998237E+01	
7.00000000E+07	-8.50715866E+00	
7.25000000E+07	-6.85785351E+00	
7.50000000E+07	-5.71569257E+00	
7.75000000E+07	-4.91252881E+00	
8.00000000E+07	-4.33729361E+00	
8.25000000E+07	-3.92208339E+00	
8.50000000E+07	-3.62242891E+00	
8.75000000E+07	-3.41005277E+00	
9.00000000E+07	-3.26646413E+00	
9.25000000E+07	-3.17823803E+00	
9.50000000E+07	-3.13466693E+00	
9.75000000E+07	-3.12538079E+00	
1.00000000E+08	-3.13958713E+00	
1.02500000E+08	-3.16698244E+00	
1.05000000E+08	-3.19762322E+00	
1.07500000E+08	-3.22318879E+00	
1.10000000E+08	-3.23405415E+00	
1.12500000E+08	-3.21756691E+00	
1.15000000E+08	-3.15690157E+00	
1.17500000E+08	-3.03479267E+00	
1.20000000E+08	-2.84353773E+00	
1.22500000E+08	-2.59638722E+00	
1.25000000E+08	-2.32962879E+00	
1.27500000E+08	-2.08914326E+00	
1.30000000E+08	-1.91255048E+00	
1.32500000E+08	-1.82012425E+00	
1.35000000E+08	-1.82047559E+00	
1.37500000E+08	-1.92021815E+00	
1.40000000E+08	-2.13388236E+00	
1.42500000E+08	-2.49342459E+00	
1.45000000E+08	-3.06044177E+00	
1.47500000E+08	-3.94612149E+00	
1.50000000E+08	-5.34912498E+00	
1.52500000E+08	-7.62291015E+00	
1.55000000E+08	-1.12969079E+01	
1.57500000E+08	-1.48306059E+01	
1.60000000E+08	-1.13947734E+01	
1.62500000E+08	-7.40737359E+00	
1.65000000E+08	-4.91235981E+00	
1.67500000E+08	-3.37146150E+00	
1.70000000E+08	-2.39650654E+00	
1.72500000E+08	-1.76369663E+00	
1.75000000E+08	-1.34126313E+00	
1.77500000E+08	-1.05304289E+00	
1.80000000E+08	-8.53899575E-01	
1.82500000E+08	-7.17222419E-01	
1.85000000E+08	-6.27196410E-01	
1.87500000E+08	-5.75125171E-01	
1.90000000E+08	-5.57191018E-01	
1.92500000E+08	-5.73065333E-01	
1.95000000E+08	-6.23342684E-01	
1.97500000E+08	-7.04977444E-01	
2.00000000E+08	-8.03813159E-01	
