Excitation
"Frequency"[Hz]	"VoltageSource2 [dB]"	
3.00000000E+07	-7.61685706E-03	
3.25000000E+07	-6.34065631E-03	
3.50000000E+07	-8.78986588E-03	
3.75000000E+07	-3.47638335E-02	
4.00000000E+07	-2.08976729E-01	
4.25000000E+07	-2.59557227E-01	
4.50000000E+07	-3.17840577E-01	
4.75000000E+07	-4.86779982E-01	
5.00000000E+07	-8.09976836E-01	
5.25000000E+07	-1.64186631E+00	
5.50000000E+07	-3.16747742E+00	
5.75000000E+07	-2.27194739E+00	
6.00000000E+07	-1.46945385E+00	
6.25000000E+07	-1.31011046E+00	
6.50000000E+07	-1.55536954E+00	
6.75000000E+07	-2.43604988E+00	
7.00000000E+07	-7.01871130E+00	
7.25000000E+07	-1.01617312E+01	
7.50000000E+07	-2.81996399E+00	
7.75000000E+07	-1.52683082E+00	
8.00000000E+07	-1.10544594E+00	
8.25000000E+07	-1.07444449E+00	
8.50000000E+07	-1.41263058E+00	
8.75000000E+07	-2.78814043E+00	
9.00000000E+07	-8.00305223E+00	
9.25000000E+07	-2.35483029E+01	
9.50000000E+07	-6.28717931E+00	
9.75000000E+07	-2.74262344E+00	
1.00000000E+08	-1.49753688E+00	
1.02500000E+08	-1.13484548E+00	
1.05000000E+08	-1.28385200E+00	
1.07500000E+08	-1.88045715E+00	
1.10000000E+08	-4.44109349E+00	
1.12500000E+08	-7.97766002E+00	
1.15000000E+08	-3.10808860E+00	
1.17500000E+08	-1.78278602E+00	
1.20000000E+08	-1.24581951E+00	
1.22500000E+08	-9.66350004E-01	
1.25000000E+08	-8.62116384E-01	
1.27500000E+08	-8.70404636E-01	
1.30000000E+08	-4.95107683E-01	
1.32500000E+08	-5.98634150E-01	
1.35000000E+08	-1.25254487E+00	
1.37500000E+08	-2.75035503E+00	
1.40000000E+08	-3.49924230E+00	
1.42500000E+08	-5.33905266E+00	
1.45000000E+08	-6.31165791E+00	
1.47500000E+08	-5.64717367E+00	
1.50000000E+08	-5.45089423E+00	
1.52500000E+08	-5.74473271E+00	
1.55000000E+08	-6.33450430E+00	
1.57500000E+08	-9.57835224E+00	
1.60000000E+08	-1.78725043E+01	
1.62500000E+08	-5.94730474E+00	
1.65000000E+08	-2.78381251E+00	
1.67500000E+08	-2.08520980E+00	
1.70000000E+08	-1.63390661E+00	
1.72500000E+08	-1.55795722E+00	
1.75000000E+08	-1.90385077E+00	
1.77500000E+08	-2.71340620E+00	
1.80000000E+08	-1.64918313E+00	
1.82500000E+08	-1.22537590E+00	
1.85000000E+08	-1.30193794E+00	
1.87500000E+08	-7.02028824E-01	
1.90000000E+08	-5.32722064E-01	
1.92500000E+08	-4.49387358E-01	
1.95000000E+08	-4.08032902E-01	
1.97500000E+08	-3.94097128E-01	
2.00000000E+08	-4.51742250E-01	
